name,cuisine,type,district,microdistict,avg_check,hours,WiFi(1/0),delivery(1/0),reviews,rating
Кебабчы Nuri Usta,Турецкая,Кафе,Ленинский,Центр,800,16,0,1,228,4.5
Rodem Coffee & Bakery,Корейская,Кафе,Свердловский ,Восток-7,800,16,0,1,342,4.6
Улуу Тоо,Национальная,Ресторан,Первомайский,Центр,1500,16,1,1,1776,4.4
Анар,Восточная,Чайхана,Ленинский,Центр,1000,16,1,1,701,4.7
Шашлык City,Восточная,Кафе,Ленинский,Центр,800,16,0,1,512,4.6
Паназиат,Паназиатская,Чайхана,Свердловский ,Джал,1000,16,1,1,170,4.2
Дом плова,Узбекская,Кафе,Ленинский,Центр,800,16,0,1,181,4.4
Жаңгак,Национальная,Чайхана,Первомайский,Юг-2,1000,16,1,1,70,4.6
Сере,Уйгурская,Кафе,Ленинский,Центр,800,16,0,1,55,3.7
Navat,Национальная,Чайхана,Октябрьский ,3 мкр,1000,16,1,1,43687,4.8
Yun`s Kitchen,Корейская,Кафе,Первомайский,Центр,350,11,1,0,508,4.6
Хилал,Восточная,Кафе,Ленинский,Центр,800,16,0,1,34,2.7
Красный дом,Китайская,Кафе,Ленинский,Джал-23,800,16,0,1,509,4.5
Кыргызбайдын жаны самсасы,Национальная,Кафе,Октябрьский ,7 мкр,800,16,0,1,106,2.3
Чан Чунь,Китайская,Кафе,Ленинский,Центр,800,16,0,1,31,4.1
Фаиза,Восточная,Кафе,Первомайский,Центр,800,16,0,1,2158,3.9
Oops,Европейская,Кафе,Ленинский,Центр,800,16,0,1,31,4.3
Nori,Японская,Фастфуд,Свердловский ,Джал,800,16,0,0,127,4.1
Ожак Кебап Гурме,Турецкая,Ресторан,Октябрьский ,3 мкр,1000,13,1,1,464,4.5
Zerno,Европейская,Ресторан,Октябрьский ,7 мкр,1500,16,1,1,1331,4.6
Моря Oyster Bar,Турецкая,Ресторан,Ленинский,Центр,1500,16,1,1,197,4.7
Papuri,Грузинская,Ресторан,Свердловский ,Джал ,1500,16,1,1,1270,4.8
DuЭт coffee&restaurant,Турецкая,Ресторан,Ленинский,Центр,1500,16,1,1,282,4.5
Iwa,Паназиатская,Ресторан,Октябрьский ,Асанбай ,1500,16,1,1,193,4.1
Gandhi Restaurant,Индийская,Ресторан,Ленинский,Центр,1500,16,1,1,292,4.8
Дунуйо,Восточная,Чайхана,Свердловский ,Джал ,1000,16,1,1,25,4.6
Qant,Европейская,Ресторан,Ленинский,Центр,1500,16,1,1,415,4.6
Archa,Национальная,Ресторан,Ленинский,Джал-23,1500,16,1,1,53,4.3
Винтаж,Европейская,Бар,Октябрьский ,2 мкр,1200,24,1,0,786,4.7
Пишпек,Национальная,Ресторан,Ленинский,Центр,1500,16,1,1,370,4.5
Улуу Тоо,Восточная,Чайхана,Ленинский,Рабочий городок ,1000,16,1,1,1776,4.8
Barhat,Восточная,Чайхана,Свердловский ,Восток-5 ,1000,16,1,1,1538,4.4
Chinatown,Китайская ,Ресторан,Октябрьский ,7 мкр,1500,16,1,1,428,4.4
